TIMESTAMP,OPEN,LOW,HIGH,CLOSE,VOLUME,TIMESTAMP_CLOSE,VOLUME_QUOTE,TRADES,TAKER_BASE,TAKER_QUOTE
1567900800000,10000.0,10412.65,10000.0,10391.63,3096.29,1567987199999,32096280.45,3754.0,0.04,393.36
1567987200000,10316.62,10475.54,10077.22,10307.0,14824.37,1568073599999,152447209.57,11296.0,5452.45,56197395.22
1568073600000,10307.0,10382.97,9940.87,10102.02,9068.96,1568159999999,92717645.17,10089.0,6395.46,65526356.95
1568160000000,10094.27,10293.11,9884.31,10159.55,10897.92,1568246399999,109786235.84,13811.0,7724.44,77841159.7
1568246400000,10163.06,10450.13,10042.12,10415.13,15609.63,1568332799999,159494237.43,20060.0,10117.8,103160660.48
1568332800000,10414.96,10440.55,10153.51,10341.34,19252.72,1568419199999,198205401.8,29249.0,9717.13,100083062.05
1568419200000,10343.01,10419.97,10222.77,10332.25,20656.62,1568505599999,213270510.34,30436.0,9522.55,98347059.96
1568505600000,10333.47,10359.2,10024.81,10302.22,20536.26,1568591999999,211512546.04,25912.0,7430.16,76527442.1
1568592000000,10302.0,10353.81,10080.7,10249.27,20185.64,1568678399999,206767492.67,31837.0,6954.58,71177496.14
1568678400000,10257.3,10270.63,10136.77,10186.52,22519.61,1568764799999,229911548.18,31535.0,12669.11,129336069.83
1568764800000,10183.87,10256.65,10097.92,10155.16,20832.9,1568851199999,212309755.02,30799.0,13464.2,137250597.57
1568851200000,10154.7,10331.62,9530.02,10245.3,26228.75,1568937599999,262112110.03,41871.0,10213.79,102471541.33
1568937600000,10247.7,10279.3,10070.5,10166.35,23265.91,1569023999999,236683803.68,31054.0,9517.13,96905407.08
1569024000000,10166.56,10175.3,9912.63,9983.33,23642.39,1569110399999,237320660.26,32670.0,8219.62,82449521.73
1569110400000,9992.7,10089.52,9857.0,10023.04,23916.35,1569196799999,238688620.34,33401.0,10466.4,104504245.66
1569196800000,10027.69,10046.91,9620.0,9701.96,31927.06,1569283199999,314749491.63,42190.0,14924.55,147226975.18
1569283200000,8683.2,9792.83,8645.61,8645.61,29758.54,1569369599999,286175252.41,46730.0,14817.32,142461498.11
1569369600000,8493.32,8725.24,8200.0,8430.07,48222.1,1569455999999,406841550.16,85707.0,24972.13,210761781.76
1569456000000,8428.15,8464.4,7700.67,8060.15,60065.94,1569542399999,487919029.55,110581.0,29931.39,243327659.91
1569542400000,8061.98,8260.0,7851.94,8176.52,40034.65,1569628799999,321440849.11,80396.0,20960.86,168269237.3
1569628800000,8178.26,8311.0,8001.14,8195.38,33820.92,1569715199999,275406180.4,69220.0,16862.16,137291433.19
1569715200000,8199.0,8226.35,7888.98,8041.96,35966.06,1569801599999,289320913.72,78128.0,20057.62,161475890.51
1569801600000,8042.08,8331.89,7709.01,8285.84,54412.52,1569887999999,436701925.16,107329.0,27935.36,224211005.56
1569888000000,8285.31,8499.0,8171.0,8290.0,39212.8,1569974399999,327218811.63,92166.0,19547.74,163152006.75
1569974400000,8290.0,8365.92,8149.35,8352.14,30329.18,1570060799999,249785989.08,71452.0,13840.6,113978670.61
1570060800000,8353.4,8386.0,8020.0,8220.27,33430.23,1570147199999,274334928.39,82221.0,15177.82,124513346.44
1570147200000,8219.95,8227.42,7979.95,8130.56,28421.11,1570233599999,230978393.31,74683.0,12437.98,101062599.15
1570233600000,8130.0,8175.0,8010.0,8122.14,30262.01,1570319999999,244744089.06,69791.0,12199.7,98632706.0
1570320000000,8122.01,8148.43,7760.0,7852.79,41909.04,1570406399999,333155725.01,94844.0,19790.53,157345906.9
